n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
437,-21.0,-21.0,-21.0,1019.11,13333.995
438,-21.0,-21.0,-21.0,1019.43,13292.176
439,-21.0,-21.0,-21.0,1019.23,13260.398
440,-21.0,-21.0,-21.0,1019.15,13231.805
441,-21.0,-21.0,-21.0,1018.87,13225.762
442,-21.0,-21.0,-21.0,1018.84,13272.2
443,-21.0,-21.0,-21.0,1018.84,13282.338
444,-21.0,-21.0,-21.0,1018.64,13286.414
445,-21.0,-21.0,-21.0,1018.69,13281.009
446,-21.0,-21.0,-21.0,1018.69,13272.906
447,-21.0,-21.0,-21.0,1018.7,13279.995
448,-21.0,-21.0,-21.0,1018.79,13292.841
449,-21.0,-21.0,-21.0,1019.07,13293.336
450,-21.0,-21.0,-21.0,1018.77,13298.473
451,-21.0,-21.0,-21.0,1019.08,13305.604
452,-21.0,-21.0,-21.0,1018.94,13274.966
453,-21.0,-21.0,-21.0,1018.83,13263.874
454,-21.0,-21.0,-21.0,1018.84,13249.651
455,-21.0,-21.0,-21.0,1018.7,13230.992
456,-21.0,-21.0,-21.0,1018.42,13227.327
457,-21.0,-21.0,-21.0,1018.28,13210.108
458,-21.0,-21.0,-21.0,1018.71,13194.481
459,-21.0,-21.0,-21.0,1018.65,13173.356
460,-21.0,-21.0,-21.0,1018.86,13163.545
461,-21.0,-21.0,-21.0,1018.89,13148.628
462,-21.0,-21.0,-21.0,1018.89,13133.214
463,-21.0,-21.0,-21.0,1018.83,13135.389
464,-21.0,-21.0,-21.0,1019.18,13181.667
465,-21.0,-21.0,-21.0,1019.17,13236.481
466,-21.0,-21.0,-21.0,1019.08,13269.006
467,-21.0,-21.0,-21.0,1018.98,13282.603
468,-21.0,-21.0,-21.0,1018.64,13314.951
469,-21.0,-21.0,-21.0,1018.59,13371.603
470,-21.0,-21.0,-21.0,1018.39,13417.974
471,-21.0,-21.0,-21.0,1018.66,13456.913
472,-21.0,-21.0,-21.0,1018.94,13491.915
473,-21.0,-21.0,-21.0,1019.09,13521.926
474,-21.0,-21.0,-21.0,1019.23,13521.011
475,-21.0,-21.0,-21.0,1018.86,13505.623
476,-21.0,-21.0,-21.0,1019.11,13491.638
477,-21.0,-21.0,-21.0,1019.14,13477.005
478,-21.0,-21.0,-21.0,1019.04,13467.233
479,-21.0,-21.0,-21.0,1018.79,13461.908
480,-21.0,-21.0,-21.0,1019.02,13439.757
481,-21.0,-21.0,-21.0,1018.86,13421.114
482,-21.0,-21.0,-21.0,1018.78,13394.624
483,-21.0,-21.0,-21.0,1018.76,13371.087
484,-21.0,-21.0,-21.0,1018.93,13335.375
485,-21.0,-21.0,-21.0,1018.78,13300.816
486,-21.0,-21.0,-21.0,1018.71,13272.588
487,-21.0,-21.0,-21.0,1018.79,13309.749
488,-21.0,-21.0,-21.0,1018.92,13323.459
489,-21.0,-21.0,-21.0,1018.71,13307.836
490,-21.0,-21.0,-21.0,1018.51,13307.905
491,-21.0,-21.0,-21.0,1018.12,13322.446
492,-21.0,-21.0,-21.0,1018.2,13359.094
493,-21.0,-21.0,-21.0,1018.23,13394.205
494,-21.0,-21.0,-21.0,1018.18,13433.102
495,-21.0,-21.0,-21.0,1018.51,13486.279
496,-21.0,-21.0,-21.0,1018.96,13532.414
497,-21.0,-21.0,-21.0,1019.17,13536.878
498,-21.0,-21.0,-21.0,1019.16,13520.64
499,-21.0,-21.0,-21.0,1019.4,13520.812
500,-21.0,-21.0,-21.0,1019.61,13514.067
501,-21.0,-21.0,-21.0,1018.87,13506.954
502,-21.0,-21.0,-21.0,1018.85,13482.748
503,-21.0,-21.0,-21.0,1018.96,13472.296
504,-21.0,-21.0,-21.0,1019.08,13461.116
505,-21.0,-21.0,-21.0,1019.29,13440.674
506,-21.0,-21.0,-21.0,1019.53,13419.917
